1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
3.05E-02	-0.3967285	-3.05E-02	-0.5493163	0.7324218	0.2441406	-0.1525879	-1.00708	-1.464844	-0.7629394	0.4882812	9.16E-02	1.434326	-0.1220703	0.8850097	0.213623	0.5798339	-1.190185	-1.098633	-9.16E-02	-0.3967285	1.190185	-6.10E-02	-6.10E-02	0.5187988	0.9460449	1.434326	-0.1525879	0.4272461	-1.159668	-0.2746582	-3.05E-02	-3.05E-02	-1.586914	-0.1525879	9.16E-02	0.5798339	0.4882812	3.05E-02	0.3662109	0.7324218	0.4272461	-0.2441406
0	-0.8239745	0	-0.5493163	0.8544921	-0.3967285	0.1220703	-0.5187988	-1.220703	-0.7324218	0.4272461	0.1831055	0.9765624	-0.3356933	-0.4577636	0.4577636	0.1831055	-0.9765624	-0.5798339	-0.1525879	-0.2746582	0.9765624	3.05E-02	0.1525879	0.7019042	0.8544921	0.2441406	2.380371	0.3967285	-0.8239745	-0.7019042	-0.1220703	0.213623	-1.312256	-0.5187988	0.213623	0.7019042	0.5187988	-9.16E-02	0	6.10E-02	0.1831055	0.2441406
-0.1220703	-0.7629394	0.5493163	-0.4882812	0.8850097	-0.2441406	0.1525879	-6.10E-02	-0.9460449	-0.5187988	0.4272461	0.2746582	0.3967285	-3.05E-02	-0.5187988	0.4272461	-0.9155273	-0.8850097	-0.6408691	3.05E-02	-0.3967285	0.4882812	-0.5187988	-0.7324218	0.213623	0.6103515	-0.4882812	1.159668	-6.10E-02	-2.13623	-0.1525879	-0.3356933	0.4272461	-1.190185	-0.3967285	-9.16E-02	0.4882812	0.5798339	-0.5493163	-9.16E-02	9.16E-02	0.2746582	0.1220703
-0.1220703	-0.9765624	0.8850097	-0.5187988	0.6103515	-0.4577636	6.10E-02	-0.213623	-0.4272461	-0.1525879	0.4577636	0.2746582	-0.7324218	0.1220703	0.2441406	0.5187988	-1.953125	-0.4882812	-0.1831055	9.16E-02	-0.4272461	1.495361	-0.3662109	-0.793457	0.1525879	0.8239745	-0.7629394	-0.9155273	0	-2.410888	0.5187988	-0.213623	0.3356933	-0.8850097	-0.4272461	-6.10E-02	0.213623	0.4272461	-0.5798339	6.10E-02	0.4577636	0.2746582	0.213623
-0.1220703	-1.281738	0.6408691	-0.5798339	-0.1220703	-0.3967285	-0.7019042	0.3051758	-1.281738	-3.05E-02	3.05E-02	0.3967285	-0.2441406	3.05E-02	0.5493163	0.1831055	9.16E-02	-0.3662109	0.2746582	0.5798339	-0.793457	1.953125	0.1525879	-0.3967285	-0.9765624	1.525879	-0.4577636	-1.800537	0.5187988	-1.525879	0.5187988	-0.3051758	6.10E-02	-0.3967285	-6.10E-02	-0.2441406	-0.5493163	-0.4882812	-0.5187988	-0.2441406	0.8239745	-0.2746582	0.2441406
-0.1220703	-1.00708	0.6103515	-0.1831055	-1.434326	-0.6408691	-1.220703	-0.1831055	-1.861572	-6.10E-02	-1.098633	0.3967285	-0.3356933	6.10E-02	0.7629394	0.3662109	1.098633	-0.1525879	3.05E-02	0.4272461	-0.8239745	2.075195	0.3356933	0.3662109	-1.403808	1.220703	-0.1525879	-1.556396	0.8850097	-0.9460449	1.220703	-0.4272461	-0.4272461	-0.8544921	-0.213623	-3.05E-02	-0.6103515	0.1525879	-0.3356933	-0.1525879	0.7019042	-0.8239745	0.7324218
-6.10E-02	-0.7629394	0.5493163	-0.3662109	-1.312256	-1.190185	-0.9765624	-0.3051758	-1.373291	0.3051758	-1.098633	0.6713867	1.037598	-0.3051758	0.6713867	0.3356933	2.105713	-0.2746582	-0.1831055	0.1220703	-0.6408691	2.01416	0.3356933	0.4577636	-1.373291	1.220703	-0.7019042	-0.8544921	0.7019042	-0.6103515	1.159668	-0.3662109	-0.4272461	-0.7324218	0	0.2746582	-0.3051758	-0.9460449	-0.2746582	6.10E-02	0.6713867	-0.6408691	0.2441406
-3.05E-02	-1.220703	9.16E-02	0.4882812	-0.6103515	-1.220703	-0.793457	-0.9765624	-0.9765624	0.8850097	-1.00708	0.5187988	-0.3051758	-0.1831055	0.5187988	0.3967285	1.800537	-6.10E-02	-0.213623	-0.1831055	-0.5187988	1.770019	0.1525879	0.1220703	-0.6408691	1.00708	-0.793457	-0.5187988	0.5493163	0.213623	1.800537	-0.213623	0.1525879	-0.7019042	0.1831055	0.4577636	0.1525879	-0.9765624	-0.3967285	-0.2746582	0.4882812	-0.7324218	6.10E-02
9.16E-02	-1.647949	0	0.213623	-0.1831055	-0.9155273	-0.6713867	-1.251221	-0.7019042	0.9155273	-0.8239745	0.7324218	-0.2746582	0.4577636	2.380371	0.4882812	1.220703	0	0.5798339	-0.5798339	-0.3967285	1.922607	0.1525879	-6.10E-02	0.4577636	1.190185	-0.3662109	-0.6713867	0.3051758	0.3967285	1.586914	-1.12915	0	-0.2746582	0.213623	2.349853	-0.1220703	-1.312256	0.1220703	-0.2746582	0.3967285	-0.1525879	9.16E-02
9.16E-02	-1.098633	-0.2746582	6.10E-02	-0.1831055	-0.8850097	1.281738	-0.4882812	-0.793457	1.068115	-1.00708	1.068115	-6.10E-02	9.16E-02	0.9155273	0.7324218	0.5493163	-6.10E-02	0.2746582	-0.6103515	-1.037598	1.495361	0.4272461	-0.2441406	0.8850097	0.7629394	-0.1525879	-0.3356933	0.4882812	0.4577636	0.8850097	-6.10E-02	-0.2441406	-0.1831055	3.05E-02	0.8850097	-3.05E-02	-0.9155273	0.3051758	-1.281738	-0.1220703	-0.5493163	1.861572
